masked_fivegram,training_document_frequency,training_document_pct,countries_present
name is amt years old,322094,24.462625,40
is amt years old and,269679,20.481773,42
amt loan through org to,209172,15.886344,3
has been in this business,188754,14.335623,34
been in this business for,188712,14.332434,34
loan through org to buy,176272,13.387632,12
name is amt year old,143463,10.89583,40
name would like to save,138537,10.521707,13
would like to save enough,134413,10.208494,13
name has been in this,119714,9.092124,26
amt years old and married,113085,8.58866,39
this business for amt years,111901,8.498737,32
future name would like to,110496,8.392029,23
the future name would like,110483,8.391042,22
in the future name would,110470,8.390054,22
in this business for amt,109002,8.278562,29
to send her children to,103531,7.863046,32
send her children to college,87949,6.679613,9
years old and married with,85647,6.504779,38
general store in the loc,85272,6.476299,4
money to expand her business,83227,6.320984,20
name works hard to support,80840,6.139694,14
afford to send her children,80247,6.094656,8
secure future for her family,78072,5.929468,14
to provide secure future for,77976,5.922177,10
provide secure future for her,77847,5.912379,10
to save enough money so,76234,5.789874,12
enough to provide secure future,75036,5.698888,8
she is married and has,74293,5.642458,36
runs general store in the,73997,5.619977,8
to save enough to provide,73922,5.614281,10
save enough to provide secure,73803,5.605243,8
save enough money so she,72711,5.522307,8
to save money to expand,71807,5.453649,8
save money to expand her,71372,5.420612,9
like to save enough money,70877,5.383017,12
is amt years old married,70804,5.377473,40
she will be able to,66730,5.068058,38
through org to buy items,64468,4.896262,3
like to save enough to,63493,4.822212,9
has been sustaining her business,62262,4.728719,6
amt org loan through org,61977,4.707073,8
been sustaining her business activities,61729,4.688238,6
she has been in this,60770,4.615403,33
org loan through org to,60662,4.607201,5
sustaining her business activities through,59944,4.55267,6
works very hard to provide,59804,4.542037,19
her business activities through her,59482,4.517581,7
very hard to provide for,59447,4.514923,18
amt years old and has,58755,4.462367,37
requested amt org loan through,57925,4.399329,9
amt years old married and,57827,4.391886,39
she is amt years old,56678,4.304621,38
would like to save money,54968,4.174749,12
works hard to support her,53739,4.081408,23
and other supplies to raise,53013,4.026269,3
like to save money to,52943,4.020953,9
hazard risks to her family,52799,4.010016,3
name has been sustaining her,50918,3.867157,5
she would like to save,50509,3.836094,18
health and hazard risks to,48706,3.699158,3
could afford to send her,48673,3.696652,4
she could afford to send,48656,3.695361,4
and hazard risks to her,48627,3.693158,3
future she would like to,48047,3.649108,30
in the future she would,47974,3.643564,30
the future she would like,47973,3.643488,30
enough money so she could,47370,3.597691,6
so she could afford to,47261,3.589412,5
money so she could afford,47256,3.589032,4
hard to provide for them,46906,3.56245,15
secure the future of her,46193,3.508299,14
the future of her family,45119,3.42673,17
to secure the future of,44856,3.406755,14
store business in the loc,44686,3.393844,4
is amt years old she,44598,3.387161,38
general store business in the,43956,3.338402,5
has general store business in,43236,3.283719,3
to buy items to sell,43175,3.279086,8
is amt year old married,43124,3.275212,39
