masked_fivegram,training_document_frequency,training_document_pct,countries_present,interpretation
and other supplies to raise,52714,4.003542,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy items to sell,39666,3.012568,13,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
etc to sell in her,39254,2.981277,12,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
canned goods personal care products,39122,2.971252,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to sell in her store,32743,2.486777,33,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy items to sell like,31683,2.406272,6,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to provide safe drinking water,25797,1.95924,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to sell like canned goods,25670,1.949595,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy water filter to,25538,1.939569,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
sell in her general store,24416,1.854355,13,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to sell in her general,24413,1.854127,13,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy feed and other,21834,1.658257,5,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
for her food production business,18392,1.396842,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
ingredients for her food production,16769,1.273578,7,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to purchase hybrid seeds and,14275,1.084163,3,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
seeds and fertilizer for the,13705,1.040872,12,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy farm inputs such as,13507,1.025835,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy ingredients for her,13483,1.024012,18,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
to buy farm inputs such,13318,1.01148,11,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
buy ingredients for her food,13200,1.002518,8,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
in way that is safer,10866,0.825255,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
that is safer cleaner and,10591,0.804369,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
way that is safer cleaner,10482,0.796091,4,cross-country recurring boilerplate-like phrase; not attributed to a Lending Partner
